------Generation 0------
Rule  1: d858442d2112811233, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 0700000004b040e000, Class:  0, CF:0.735793, Len:  5, Fitness_tra: 0
Rule 27: 000000000000000002, Class:  0, CF:0.405698, Len:  1, Fitness_tra: 0
Rule 28: 0a0000000600000005, Class:  0, CF:0.515954, Len:  3, Fitness_tra: 0
Rule 29: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 30: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 31: 000000000007000000, Class:  0, CF:0.466271, Len:  1, Fitness_tra: 0
Rule 32: 000000004000005000, Class:  1, CF:0.298124, Len:  2, Fitness_tra: 0
Rule 33: 2214c1191512122181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 21872781c8c2511142, Class:  1, CF:0.204928, Len: 18, Fitness_tra: 0
Rule 35: 12d1221dc528111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: c2544bc148cc1c1112, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 37: 1d58128d251c549121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000430007000000, Class:  0, CF:0.168554, Len:  3, Fitness_tra: 0
Rule 39: 00f000000000000000, Class:  0, CF:0.373134, Len:  1, Fitness_tra: 0
Rule 40: 1112c28111cc1182d1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 42: 852c21c112c4111212, Class:  1, CF:0.00518293, Len: 18, Fitness_tra: 0
Rule 43: 1dd11bc5188151c215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000002000000002, Class:  0, CF:0.221714, Len:  2, Fitness_tra: 0
Rule 45: 25dc21c522c8882211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: d15111c2c852845811, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 47: 000000005000000000, Class:  0, CF:0.442029, Len:  1, Fitness_tra: 0
Rule 48: 111d82e15ed5123159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 2554111d85148c52c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000004200002060, Class:  0, CF:0.845745, Len:  4, Fitness_tra: 0
Rule 51: 0000000b000e000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 52: 1552172512c1512147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 54: 020000000000000000, Class:  0, CF:0.458366, Len:  1, Fitness_tra: 0
Rule 55: 1217271e112b214112, Class:  0, CF:0.959064, Len: 18, Fitness_tra: 0
Rule 56: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 57: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 58: 0000c0000000000003, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 59: 000000005000000000, Class:  0, CF:0.442029, Len:  1, Fitness_tra: 0
Rule 60: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 61: 5121141e21c1141151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 00000000000000c000, Class:  0, CF:0.437029, Len:  1, Fitness_tra: 0
Rule 63: 52242b43b121c81222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000080000000008000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 65: 151dc13251d3111251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000000000600000000, Class:  0, CF:0.30719, Len:  1, Fitness_tra: 0
Rule 67: 221442c3151111c142, Class:  0, CF:0.133181, Len: 18, Fitness_tra: 0
Rule 68: 005000000000000030, Class:  0, CF:0.476839, Len:  2, Fitness_tra: 0
Rule 69: 5d1c248dc11c221281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000000000600000002, Class:  0, CF:0.404585, Len:  2, Fitness_tra: 0
Rule 71: 000000000500000000, Class:  0, CF:0.361895, Len:  1, Fitness_tra: 0
Rule 72: 030000000000000000, Class:  0, CF:0.476537, Len:  1, Fitness_tra: 0
Rule 73: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 74: 002000000000000000, Class:  0, CF:0.408273, Len:  1, Fitness_tra: 0
Rule 75: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 76: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 77: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 78: c2511215251cc41818, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 00008c003000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 142127811122742116, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 81: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 82: 00000000000000c000, Class:  0, CF:0.437029, Len:  0, Fitness_tra: 0
Rule 83: 000000004000000000, Class:  0, CF:0.349009, Len:  1, Fitness_tra: 0
Rule 84: 000000000020000000, Class:  0, CF:0.4161, Len:  1, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 86: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 87: ee3821129913529115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 090070000000000000, Class:  0, CF:0.267481, Len:  2, Fitness_tra: 0
Rule 89: 000000000000008000, Class:  0, CF:0.254434, Len:  1, Fitness_tra: 0
Rule 90: 000000003000000000, Class:  0, CF:0.635078, Len:  1, Fitness_tra: 92
Rule 91: 1a327081610c18e200, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1a10000001d30010e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 5021181070cd001100, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 220402c30500010140, Class:  1, CF:0.0795516, Len: 10, Fitness_tra: 0
Rule 95: d002c081410c11e200, Class:  1, CF:  1, Len: 12, Fitness_tra: 0
Rule 96: 00000d000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 1
Rule 97: 24512b232112882817, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 98: e0000000400000e000, Class:  1, CF:  1, Len:  3, Fitness_tra: 1
Rule 99: d0020000510000c200, Class:  0, CF:0.148708, Len:  6, Fitness_tra: 0
Rule100: 002000000000080000, Class:  0, CF:0.975324, Len:  2, Fitness_tra: 0
------Current------
Miss_rate(tra)	:24.7043
------Result------
Miss_rate(tra)	:24.7043
Miss_rate(tst)	:25.8824
ARL				:4.34247

------Generation 3000------
Rule  1: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 173
Rule  2: 000000000000000003, Class:  0, CF:0.699315, Len:  1, Fitness_tra: 67
Rule  3: 000000000400000000, Class:  0, CF:0.51987, Len:  1, Fitness_tra: 16
Rule  4: 000000000000000060, Class:  0, CF:0.716075, Len:  1, Fitness_tra: 9
Rule  5: 00400000000000000b, Class:  0, CF:0.663504, Len:  2, Fitness_tra: 9
Rule  6: 008000000000000000, Class:  0, CF:0.487548, Len:  1, Fitness_tra: 9
Rule  7: 00500000000000e000, Class:  1, CF:0.902972, Len:  2, Fitness_tra: 5
Rule  8: 00000000400000e000, Class:  1, CF:0.726457, Len:  2, Fitness_tra: 1
Rule  9: 000000000000000690, Class:  0, CF:0.70758, Len:  2, Fitness_tra: 0
Rule 10: 000008000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
Rule 11: 0000c0000000000000, Class:  0, CF:0.907042, Len:  1, Fitness_tra: 1
Rule 12: 000500000000000000, Class:  0, CF:0.616519, Len:  1, Fitness_tra: 1
Rule 13: 000000004000005500, Class:  1, CF:0.858942, Len:  3, Fitness_tra: 0
Rule 14: 14512b21218c4222e9, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 15: 281411232512881817, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 16: 1a3872376913381114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000008000e00006000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 00000b005000000060, Class:  0, CF:0.977901, Len:  3, Fitness_tra: 0
Rule 19: 1d1214cd15141c1c1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 21: 21811bc94284121241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 255422115182121111, Class:  0, CF:0.360901, Len: 18, Fitness_tra: 0
Rule 23: d83142414542241213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 26: 0700000004b040e000, Class:  0, CF:0.735793, Len:  5, Fitness_tra: 0
Rule 27: 000000000000000002, Class:  0, CF:0.405698, Len:  1, Fitness_tra: 0
Rule 28: 0a0000000600000005, Class:  0, CF:0.515954, Len:  3, Fitness_tra: 0
Rule 29: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 30: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 31: 000000000007000000, Class:  0, CF:0.466271, Len:  1, Fitness_tra: 0
Rule 32: 000000004000005000, Class:  1, CF:0.298124, Len:  2, Fitness_tra: 0
Rule 33: 2214c1191512122181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 21872781c8c2511142, Class:  1, CF:0.204928, Len: 18, Fitness_tra: 0
Rule 35: 12d1221dc528111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: c2544bc148cc1c1112, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 37: 1d58128d251c549121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000430007000000, Class:  0, CF:0.168554, Len:  3, Fitness_tra: 0
Rule 39: 00f000000000000000, Class:  0, CF:0.373134, Len:  1, Fitness_tra: 0
Rule 40: 1112c28111cc1182d1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 42: 852c21c112c4111212, Class:  1, CF:0.00518293, Len: 18, Fitness_tra: 0
Rule 43: 1dd11bc5188151c215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000002000000002, Class:  0, CF:0.221714, Len:  2, Fitness_tra: 0
Rule 45: 25dc21c522c8882211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: d15111c2c852845811, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 47: 000000005000000000, Class:  0, CF:0.442029, Len:  1, Fitness_tra: 0
Rule 48: 111d82e15ed5123159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 2554111d85148c52c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000004200002060, Class:  0, CF:0.845745, Len:  4, Fitness_tra: 0
Rule 51: 0000000b000e000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 52: 1552172512c1512147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 54: 020000000000000000, Class:  0, CF:0.458366, Len:  1, Fitness_tra: 0
Rule 55: 1217271e112b214112, Class:  0, CF:0.959064, Len: 18, Fitness_tra: 0
Rule 56: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 57: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 58: 0000c0000000000003, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 59: 000000005000000000, Class:  0, CF:0.442029, Len:  1, Fitness_tra: 0
Rule 60: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 61: 5121141e21c1141151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 00000000000000c000, Class:  0, CF:0.437029, Len:  1, Fitness_tra: 0
Rule 63: 52242b43b121c81222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000080000000008000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 65: 151dc13251d3111251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000000000600000000, Class:  0, CF:0.30719, Len:  1, Fitness_tra: 0
Rule 67: 221442c3151111c142, Class:  0, CF:0.133181, Len: 18, Fitness_tra: 0
Rule 68: 005000000000000030, Class:  0, CF:0.476839, Len:  2, Fitness_tra: 0
Rule 69: 5d1c248dc11c221281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000000000600000002, Class:  0, CF:0.404585, Len:  2, Fitness_tra: 0
Rule 71: 000000000500000000, Class:  0, CF:0.361895, Len:  1, Fitness_tra: 0
Rule 72: 030000000000000000, Class:  0, CF:0.476537, Len:  1, Fitness_tra: 0
Rule 73: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 74: 002000000000000000, Class:  0, CF:0.408273, Len:  1, Fitness_tra: 0
Rule 75: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 76: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 77: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 78: c2511215251cc41818, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 00008c003000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 142127811122742116, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 81: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 82: 00000000000000c000, Class:  0, CF:0.437029, Len:  0, Fitness_tra: 0
Rule 83: 000000004000000000, Class:  0, CF:0.349009, Len:  1, Fitness_tra: 0
Rule 84: 000000000020000000, Class:  0, CF:0.4161, Len:  1, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 86: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 87: ee3821129913529115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 090070000000000000, Class:  0, CF:0.267481, Len:  2, Fitness_tra: 0
Rule 89: 000000000000008000, Class:  0, CF:0.254434, Len:  1, Fitness_tra: 0
Rule 90: 000000003000000000, Class:  0, CF:0.635078, Len:  1, Fitness_tra: 92
Rule 91: 1a327081610c18e200, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1a10000001d30010e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 5021181070cd001100, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 220402c30500010140, Class:  1, CF:0.0795516, Len: 10, Fitness_tra: 0
Rule 95: d002c081410c11e200, Class:  1, CF:  1, Len: 12, Fitness_tra: 0
Rule 96: 00000d000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 1
Rule 97: 24512b232112882817, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 98: e0000000400000e000, Class:  1, CF:  1, Len:  3, Fitness_tra: 1
Rule 99: d0020000510000c200, Class:  0, CF:0.148708, Len:  6, Fitness_tra: 0
Rule100: 002000000000080000, Class:  0, CF:0.975324, Len:  2, Fitness_tra: 0
------Current------
Miss_rate(tra)	:24.7043
------Result------
Miss_rate(tra)	:24.7043
Miss_rate(tst)	:25.8824
ARL				:4.34247

------Generation 4000------
Rule  1: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 173
Rule  2: 000000000000000003, Class:  0, CF:0.699315, Len:  1, Fitness_tra: 67
Rule  3: 000000000400000000, Class:  0, CF:0.51987, Len:  1, Fitness_tra: 16
Rule  4: 000000000000000060, Class:  0, CF:0.716075, Len:  1, Fitness_tra: 9
Rule  5: 00400000000000000b, Class:  0, CF:0.663504, Len:  2, Fitness_tra: 9
Rule  6: 008000000000000000, Class:  0, CF:0.487548, Len:  1, Fitness_tra: 9
Rule  7: 00500000000000e000, Class:  1, CF:0.902972, Len:  2, Fitness_tra: 5
Rule  8: 00000000400000e000, Class:  1, CF:0.726457, Len:  2, Fitness_tra: 1
Rule  9: 000000000000000690, Class:  0, CF:0.70758, Len:  2, Fitness_tra: 0
Rule 10: 000008000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
Rule 11: 0000c0000000000000, Class:  0, CF:0.907042, Len:  1, Fitness_tra: 1
Rule 12: 000500000000000000, Class:  0, CF:0.616519, Len:  1, Fitness_tra: 1
Rule 13: 000000004000005500, Class:  1, CF:0.858942, Len:  3, Fitness_tra: 0
Rule 14: 14512b21218c4222e9, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 15: 281411232512881817, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 16: 1a3872376913381114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000008000e00006000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 00000b005000000060, Class:  0, CF:0.977901, Len:  3, Fitness_tra: 0
Rule 19: 1d1214cd15141c1c1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 21: 21811bc94284121241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 255422115182121111, Class:  0, CF:0.360901, Len: 18, Fitness_tra: 0
Rule 23: d83142414542241213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 26: 0700000004b040e000, Class:  0, CF:0.735793, Len:  5, Fitness_tra: 0
Rule 27: 000000000000000002, Class:  0, CF:0.405698, Len:  1, Fitness_tra: 0
Rule 28: 0a0000000600000005, Class:  0, CF:0.515954, Len:  3, Fitness_tra: 0
Rule 29: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 30: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 31: 000000000007000000, Class:  0, CF:0.466271, Len:  1, Fitness_tra: 0
Rule 32: 000000004000005000, Class:  1, CF:0.298124, Len:  2, Fitness_tra: 0
Rule 33: 2214c1191512122181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 21872781c8c2511142, Class:  1, CF:0.204928, Len: 18, Fitness_tra: 0
Rule 35: 12d1221dc528111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: c2544bc148cc1c1112, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 37: 1d58128d251c549121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000000430007000000, Class:  0, CF:0.168554, Len:  3, Fitness_tra: 0
Rule 39: 00f000000000000000, Class:  0, CF:0.373134, Len:  1, Fitness_tra: 0
Rule 40: 1112c28111cc1182d1, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 41: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 42: 852c21c112c4111212, Class:  1, CF:0.00518293, Len: 18, Fitness_tra: 0
Rule 43: 1dd11bc5188151c215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000002000000002, Class:  0, CF:0.221714, Len:  2, Fitness_tra: 0
Rule 45: 25dc21c522c8882211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: d15111c2c852845811, Class:  1, CF:  1, Len: 18, Fitness_tra: 0
Rule 47: 000000005000000000, Class:  0, CF:0.442029, Len:  1, Fitness_tra: 0
Rule 48: 111d82e15ed5123159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 2554111d85148c52c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000004200002060, Class:  0, CF:0.845745, Len:  4, Fitness_tra: 0
Rule 51: 0000000b000e000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 52: 1552172512c1512147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 54: 020000000000000000, Class:  0, CF:0.458366, Len:  1, Fitness_tra: 0
Rule 55: 1217271e112b214112, Class:  0, CF:0.959064, Len: 18, Fitness_tra: 0
Rule 56: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 57: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 58: 0000c0000000000003, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 59: 000000005000000000, Class:  0, CF:0.442029, Len:  1, Fitness_tra: 0
Rule 60: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 61: 5121141e21c1141151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 00000000000000c000, Class:  0, CF:0.437029, Len:  1, Fitness_tra: 0
Rule 63: 52242b43b121c81222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000080000000008000, Class:  0, CF:  1, Len:  2, Fitness_tra: 0
Rule 65: 151dc13251d3111251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000000000600000000, Class:  0, CF:0.30719, Len:  1, Fitness_tra: 0
Rule 67: 221442c3151111c142, Class:  0, CF:0.133181, Len: 18, Fitness_tra: 0
Rule 68: 005000000000000030, Class:  0, CF:0.476839, Len:  2, Fitness_tra: 0
Rule 69: 5d1c248dc11c221281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000000000600000002, Class:  0, CF:0.404585, Len:  2, Fitness_tra: 0
Rule 71: 000000000500000000, Class:  0, CF:0.361895, Len:  1, Fitness_tra: 0
Rule 72: 030000000000000000, Class:  0, CF:0.476537, Len:  1, Fitness_tra: 0
Rule 73: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 74: 002000000000000000, Class:  0, CF:0.408273, Len:  1, Fitness_tra: 0
Rule 75: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 76: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 77: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 78: c2511215251cc41818, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 00008c003000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 142127811122742116, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 81: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 82: 00000000000000c000, Class:  0, CF:0.437029, Len:  0, Fitness_tra: 0
Rule 83: 000000004000000000, Class:  0, CF:0.349009, Len:  1, Fitness_tra: 0
Rule 84: 000000000020000000, Class:  0, CF:0.4161, Len:  1, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 86: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 0
Rule 87: ee3821129913529115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 090070000000000000, Class:  0, CF:0.267481, Len:  2, Fitness_tra: 0
Rule 89: 000000000000008000, Class:  0, CF:0.254434, Len:  1, Fitness_tra: 0
Rule 90: 000000003000000000, Class:  0, CF:0.635078, Len:  1, Fitness_tra: 92
Rule 91: 1a327081610c18e200, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1a10000001d30010e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 5021181070cd001100, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 220402c30500010140, Class:  1, CF:0.0795516, Len: 10, Fitness_tra: 0
Rule 95: d002c081410c11e200, Class:  1, CF:  1, Len: 12, Fitness_tra: 0
Rule 96: 00000d000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 1
Rule 97: 24512b232112882817, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 98: e0000000400000e000, Class:  1, CF:  1, Len:  3, Fitness_tra: 1
Rule 99: d0020000510000c200, Class:  0, CF:0.148708, Len:  6, Fitness_tra: 0
Rule100: 002000000000080000, Class:  0, CF:0.975324, Len:  2, Fitness_tra: 0
------Current------
Miss_rate(tra)	:24.7043
------Result------
Miss_rate(tra)	:24.7043
Miss_rate(tst)	:25.8824
ARL				:4.34247

------Generation 5000------
Rule  1: 000000000000000000, Class:  0, CF:0.487516, Len:  0, Fitness_tra: 173
Rule  2: 000000000000000003, Class:  0, CF:0.699315, Len:  1, Fitness_tra: 67
Rule  3: 000000000400000000, Class:  0, CF:0.51987, Len:  1, Fitness_tra: 16
Rule  4: 000000000000000060, Class:  0, CF:0.716075, Len:  1, Fitness_tra: 9
Rule  5: 00400000000000000b, Class:  0, CF:0.663504, Len:  2, Fitness_tra: 9
Rule  6: 008000000000000000, Class:  0, CF:0.487548, Len:  1, Fitness_tra: 9
Rule  7: 00500000000000e000, Class:  1, CF:0.902972, Len:  2, Fitness_tra: 5
Rule  8: 00000000400000e000, Class:  1, CF:0.726457, Len:  2, Fitness_tra: 1
Rule  9: 000000000000000690, Class:  0, CF:0.70758, Len:  2, Fitness_tra: 0
Rule 10: 000008000000000000, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
